Company,Mean Return,Volatility,Zone
SAMAA,0.0004667234159533935,0.016895877580530832,"Gold Zone (High Return, Low Risk)"
SERVI,-0.0027480375564078526,0.06077294871609752,"Danger Zone (Low Return, High Risk)"
SFBT,-0.0005105945411788343,0.010441938191491501,"Safe Zone (Low Return, Low Risk)"
SIAM,0.00034639266002673536,0.013758620300084642,"Gold Zone (High Return, Low Risk)"
SIPHA,0.0018008546492382987,0.04666994668346908,"Speculative Zone (High Return, High Risk)"
SITS,-0.0008459422299424683,0.031527037484348826,"Danger Zone (Low Return, High Risk)"
SMD,0.0017729683172928762,0.03927336116784667,"Speculative Zone (High Return, High Risk)"
SOKNA,-0.0010858333838997406,0.028246837280088574,"Danger Zone (Low Return, High Risk)"
SOPAT,0.0008444873808017564,0.020323372552705134,"Speculative Zone (High Return, High Risk)"
SOTE,-9.378806593594227e-05,0.019296266581874107,"Danger Zone (Low Return, High Risk)"
SPDI,-4.1638129080554185e-06,0.01609654135859915,"Safe Zone (Low Return, Low Risk)"
STAR,0.0010725223033204558,0.020889575596029976,"Speculative Zone (High Return, High Risk)"
STB,0.00010077204591115764,0.016457400417759716,"Safe Zone (Low Return, Low Risk)"
STIP,0.006980060836435315,0.06409320777997564,"Speculative Zone (High Return, High Risk)"
STVR,0.0011531632014897422,0.012722832617208992,"Gold Zone (High Return, Low Risk)"
TINV,0.0019364890283568147,0.03405330864416599,"Speculative Zone (High Return, High Risk)"
TJL,0.0013367043524758824,0.02094466902540778,"Speculative Zone (High Return, High Risk)"
TLNET,-0.00041310104811390124,0.011959975619268684,"Safe Zone (Low Return, Low Risk)"
TLS,0.0007846597423476852,0.0180841122959957,"Speculative Zone (High Return, High Risk)"
TRE,-0.00010676859964032205,0.016927917277727682,"Safe Zone (Low Return, Low Risk)"
UBCI,-8.93338578573686e-05,0.02154405226744884,"Danger Zone (Low Return, High Risk)"
UIB,0.000620527364768675,0.013501260755136213,"Gold Zone (High Return, Low Risk)"
UMED,-0.00025699429206121736,0.014250717711962527,"Safe Zone (Low Return, Low Risk)"
WIFAK,0.0008377363458430805,0.015478880436606089,"Gold Zone (High Return, Low Risk)"
